instrumento,aplicacao,serie,disciplina,inep,escola,turmas,alunos,media,acertos,esperado,percentual
Simula+,4,3ª Série,Matemática,22080333,CETI DESEMBARGADOR PEDRO SÁ,4,103,3.2,852,2678,32.0
Simula+,4,3ª Série,Matemática,22133968,CETI ROCHA NETO,3,85,4.0,895,2210,40.0
Simula+,4,3ª Série,Matemática,22078096,CETI DOUTOR JOSE GUSMÃO,2,59,2.5,387,1534,25.0
Simula+,4,3ª Série,Matemática,22083510,CETI SÃO SEBASTIÃO,1,18,3.4,161,468,34.0
Simula+,4,3ª Série,Matemática,22083022,CETI SEVERO MARIA EULÁLIO,2,53,3.3,451,1378,33.0
Simula+,4,3ª Série,Matemática,22136886,CETI FRANCIVAL RODRIGUES DO NASCIMENTO,1,20,2.9,152,520,29.0
Simula+,4,3ª Série,Matemática,22088024,CETI DOUTOR JOSÉ DE MOURA FÉ,2,44,2.4,269,1144,24.0
Simula+,4,3ª Série,Matemática,22223606,CETI WILSON NUNES MARTINS FILHO,1,27,5.1,355,702,51.0
Simula+,4,3ª Série,Matemática,22080481,CETI ORLANDO CARVALHO,2,43,3.5,391,1118,35.0
Simula+,4,3ª Série,Matemática,22080449,CETI FARMACÊUTICO JOÃO CARVALHO,3,65,3.5,586,1690,35.0
Simula+,4,3ª Série,Matemática,22080392,CETI ARMANDO BURLAMAQUI,4,73,3.1,593,1898,31.0
Simula+,4,3ª Série,Matemática,22083480,CETI DOM EDILBERTO DINKELBORG,2,43,3.5,396,1118,35.0
Simula+,4,3ª Série,Matemática,22099476,CETI JOÃO DE SOUSA MOURA,2,36,5.6,525,936,56.0
Simula+,4,3ª Série,Matemática,22134050,CETI SÃO JOÃO BATISTA,3,32,3.2,265,832,32.0
Simula+,4,3ª Série,Matemática,22061258,CETI MIGUEL MARINHO,2,26,2.8,191,676,28.0
Simula+,4,3ª Série,Matemática,22136045,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO IV,1,6,6.2,97,156,62.0
Simula+,4,3ª Série,Matemática,22141723,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO - DONA JANDIRA NUNES MARTINS - EFADE VII,1,19,6.9,341,494,69.0
Simula+,4,3ª Série,Matemática,22083065,CETI CLEMENTINO MARTINS,2,41,3.0,315,1066,30.0
Simula+,4,3ª Série,Matemática,22155406,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO V,1,14,4.9,179,364,49.0
Simula+,4,3ª Série,Matemática,22124586,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO II,1,11,2.7,77,286,27.0
Simula+,4,3ª Série,Língua Portuguesa,22080333,CETI DESEMBARGADOR PEDRO SÁ,4,103,5.2,1381,2678,52.0
Simula+,4,3ª Série,Língua Portuguesa,22133968,CETI ROCHA NETO,3,85,6.0,1324,2210,60.0
Simula+,4,3ª Série,Língua Portuguesa,22078096,CETI DOUTOR JOSE GUSMÃO,2,59,4.9,753,1534,49.0
Simula+,4,3ª Série,Língua Portuguesa,22083510,CETI SÃO SEBASTIÃO,1,18,7.2,335,468,72.0
Simula+,4,3ª Série,Língua Portuguesa,22083022,CETI SEVERO MARIA EULÁLIO,2,53,5.2,717,1378,52.0
Simula+,4,3ª Série,Língua Portuguesa,22136886,CETI FRANCIVAL RODRIGUES DO NASCIMENTO,1,20,5.0,260,520,50.0
Simula+,4,3ª Série,Língua Portuguesa,22088024,CETI DOUTOR JOSÉ DE MOURA FÉ,2,44,4.6,526,1144,46.0
Simula+,4,3ª Série,Língua Portuguesa,22223606,CETI WILSON NUNES MARTINS FILHO,1,27,6.3,443,702,63.0
Simula+,4,3ª Série,Língua Portuguesa,22080481,CETI ORLANDO CARVALHO,2,43,4.3,480,1118,43.0
Simula+,4,3ª Série,Língua Portuguesa,22080449,CETI FARMACÊUTICO JOÃO CARVALHO,3,65,5.1,860,1690,51.0
Simula+,4,3ª Série,Língua Portuguesa,22080392,CETI ARMANDO BURLAMAQUI,4,73,4.8,907,1898,48.0
Simula+,4,3ª Série,Língua Portuguesa,22083480,CETI DOM EDILBERTO DINKELBORG,2,43,4.6,512,1118,46.0
Simula+,4,3ª Série,Língua Portuguesa,22099476,CETI JOÃO DE SOUSA MOURA,2,36,6.7,624,936,67.0
Simula+,4,3ª Série,Língua Portuguesa,22134050,CETI SÃO JOÃO BATISTA,3,32,5.1,422,832,51.0
Simula+,4,3ª Série,Língua Portuguesa,22061258,CETI MIGUEL MARINHO,2,26,6.0,405,676,60.0
Simula+,4,3ª Série,Língua Portuguesa,22136045,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO IV,1,6,7.2,113,156,72.0
Simula+,4,3ª Série,Língua Portuguesa,22141723,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO - DONA JANDIRA NUNES MARTINS - EFADE VII,1,19,5.9,291,494,59.0
Simula+,4,3ª Série,Língua Portuguesa,22083065,CETI CLEMENTINO MARTINS,2,41,4.3,463,1066,43.0
Simula+,4,3ª Série,Língua Portuguesa,22155406,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO V,1,14,5.9,216,364,59.0
Simula+,4,3ª Série,Língua Portuguesa,22124586,CETI ESCOLA FAMÍLIA AGRÍCOLA DOM EDILBERTO II,1,11,2.2,64,286,22.0
Simula+,4,2ª Série,Matemática,22080333,CETI DESEMBARGADOR PEDRO SÁ,5,121,3.1,1006,3267,31.0
Simula+,4,2ª Série,Matemática,22133968,CETI ROCHA NETO,3,93,3.4,856,2511,34.0
Simula+,4,2ª Série,Matemática,22078096,CETI DOUTOR JOSÉ GUSMÃO,2,66,2.7,484,1782,27.0
Simula+,4,2ª Série,Matemática,22083510,CETI SÃO SEBASTIÃO,2,31,3.5,296,837,35.0
